z1,z12,z15,z2,z4
1487,1770,2167,2757,4885
1468,1802,2136,2787,4796
1483,1744,2101,2750,4797
1483,1693,2119,2759,4924
1482,1703,2171,2760,4858
1500,1705,2144,2726,4823
1480,1726,2181,2725,4817
1489,1747,2177,2788,4815
1495,1748,2139,2747,4751
1498,1743,2195,2780,4825
1457,1771,2172,2806,4853
1459,1795,2169,2802,4826
1418,1806,2180,2786,4876
1453,1799,2178,2783,4833
1425,1774,2164,2805,4914
1458,1769,2175,2809,4879
1505,1774,2152,2789,4863
1490,1784,2172,2792,4840
1447,1799,2182,2800,4806
1462,1797,2190,2800,4850
1451,1779,2107,2816,4861
1472,1762,2122,2809,4821
1433,1764,2145,2774,4876
1475,1788,2100,2810,4888
1470,1822,2108,2802,4867
1519,1849,2165,2829,4826
1509,1813,2122,2789,4778
1489,1746,2130,2775,4819
1485,1754,2151,2748,4800
1508,1738,2100,2716,4839
1486,1759,2127,2747,4849
1479,1743,2157,2763,4879
1490,1767,2139,2759,4858
1503,1783,2131,2767,4902
1528,1792,2123,2802,4918
1524,1794,2146,2747,4947
1479,1799,2101,2818,5001
1504,1774,2161,2764,4911
1518,1765,2150,2764,4863
1563,1774,2152,2814,4858
1542,1766,2182,2762,4884
1551,1732,2132,2764,4867
1554,1733,2131,2733,4844
1510,1757,2126,2713,4857
1503,1769,2148,2748,4856
1508,1722,2117,2723,4835
1510,1733,2112,2696,4830
1529,1731,2109,2719,4843
1492,1749,2143,2771,4854
1497,1802,2106,2784,4825
1502,1827,2103,2774,4864
1518,1814,2106,2809,4809
1503,1809,2140,2820,4852
1505,1776,2173,2786,4842
1506,1778,2143,2799,4881
1504,1804,2133,2811,4869
1512,1793,2111,2816,4796
1529,1826,2154,2761,4882
1518,1810,2133,2803,4844
1479,1816,2137,2820,4853
1516,1802,2152,2856,4867
1518,1747,2113,2795,4865
1515,1745,2148,2804,4884
1538,1747,2137,2784,4832
1527,1720,2138,2737,4832
1528,1726,2169,2738,4818
1545,1747,2211,2754,4894
1515,1737,2218,2752,4874
1473,1797,2204,2733,4924
1470,1759,2180,2763,4950
1487,1757,2215,2753,4961
1468,1726,2215,2770,4916
1466,1737,2217,2751,4962
1467,1737,2215,2738,4969
1462,1746,2164,2755,4916
1454,1734,2180,2736,4928
1468,1763,2135,2725,4933
1501,1762,2189,2730,4992
1462,1793,2205,2723,4936
1467,1789,2193,2745,4949
1474,1792,2168,2738,4969
1497,1781,2161,2761,4940
1473,1781,2148,2767,4892
1470,1785,2140,2803,4935
1497,1824,2159,2768,4959
1465,1818,2137,2763,4872
1459,1822,2172,2714,4960
1473,1777,2161,2737,4902
1469,1754,2166,2761,4908
1470,1760,2157,2774,4875
1482,1822,2188,2772,4870
1465,1782,2212,2799,4859
1463,1818,2234,2763,4855
1454,1824,2215,2751,4849
1487,1828,2246,2761,4878
1503,1842,2277,2720,4823
1513,1808,2279,2772,4774
1470,1801,2236,2733,4844
1440,1761,2187,2721,4807
